"","scientific_name","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","taxonid","subspecies","rank","subpopulation","category","code","habitat","suitability","season","majorimportance","IUCN_species_name"
"155","Microsciurus flaviventer",854,"Sciuridae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",92,"Ref_117","1",13410,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable","Resident","Yes","Microsciurus flaviventer"
"156","Microsciurus mimulus",853,"Sciuridae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",120,"Ref_117","1",13411,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Microsciurus mimulus"
"163","Monodelphis adusta",75,"Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",35,"Ref_117","1",51343071,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Monodelphis adusta"
"169","Myoprocta pratti",3070,"Dasyproctidae",20,0,0,0,0,0,40,0,0,40,"Ref_2","D1","G","A","",0,0,1,"Ref_1","ABC",966.73,"Ref_58","1",136663,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Myoprocta pratti"
"176","Nasua nasua",5070,"Procyonidae",10,20,0,0,0,0,70,0,0,0,"Ref_1","ABC","S","A","",0,0,1,"Ref_1","ABC",3793.85,"Ref_117","1",41684,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Nasua nasua"
"177","Nasuella olivacea",5072,"Procyonidae",10,20,0,0,0,0,70,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",1339.99,"Ref_117","1",72261737,NA,NA,NA,"NT","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Nasuella olivacea"
"178","Neacomys spinosus",1788,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",19,"Ref_117","1",14388,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Neacomys spinosus"
"179","Neacomys tenuipes",1789,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",19,"Ref_117","1",42649,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Neacomys tenuipes"
"182","Nesoryzomys darwini",1806,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",55.26,"Ref_2, Ref_3","0",14706,NA,NA,NA,"EX",NA,NA,NA,NA,NA,"Nesoryzomys darwini"
"183","Nesoryzomys fernandinae",1807,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",32.5,"Ref_163","1",14707,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"Nesoryzomys fernandinae"
"184","Nesoryzomys swarthi",1809,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",93.95,"Ref_163","1",14709,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"Nesoryzomys swarthi"
"192","Oecomys bicolor",1827,"Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_34","ABC","G","A","",1,0,0,"Ref_1","ABC",34,"Ref_117","1",15131,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Oecomys bicolor"
"193","Oecomys concolor",1829,"Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_2","D1",61.55,"Ref_117","1",47766841,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Oecomys concolor"
"194","Oecomys superans",1831,"Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_2","D1",73.4,"Ref_117","1",15142,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"Oecomys superans"
"195","Oecomys trinitatis",1830,"Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_2","D1",73.4,"Ref_117","1",15143,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Oecomys trinitatis"
"196","Oligoryzomys destructor",1843,"Cricetidae",30,0,0,0,0,0,30,0,40,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",25.2,"Ref_117","1",15245,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Oligoryzomys destructor"
"197","Oligoryzomys fulvescens",1834,"Cricetidae",30,0,0,0,0,0,30,0,40,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",25,"Ref_117","1",15248,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Oligoryzomys fulvescens"
"200","Pecari tajacu",5115,"Tayassuidae",10,0,20,0,0,0,10,0,0,60,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",21266.69,"Ref_117","1",41777,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Pecari tajacu"
"204","Philander andersoni",78,"Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,1,1,"Ref_1","ABC",325,"Ref_117","1",40515,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable","Resident","Yes","Philander andersoni"
"205","Philander opossum",79,"Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,1,1,"Ref_1","ABC",585.5,"Ref_117","1",40516,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Philander opossum"
"206","Phylloderma stenops",4052,"Phyllostomidae",10,0,0,0,0,0,20,10,60,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",53.68,"Ref_117","1",17168,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Phylloderma stenops"
"207","Phyllostomus elongatus",4053,"Phyllostomidae",70,0,10,0,0,0,10,10,0,0,"Ref_1","ABC","S","B","possibly also 3",1,0,0,"Ref_1","ABC",40.43,"Ref_117","1",17217,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Phyllostomus elongatus"
"210","Platyrrhinus brachycephalus",4099,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",14.1,"Ref_117","1",17567,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Platyrrhinus brachycephalus"
"211","Platyrrhinus chocoensis",4098,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",22,"Ref_178","2",17568,NA,NA,NA,"VU","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Platyrrhinus chocoensis"
"212","Platyrrhinus infuscus",4097,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",50.2,"Ref_117","1",17571,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Platyrrhinus infuscus"
"213","Potos flavus",5073,"Procyonidae",10,0,0,0,10,0,80,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",3000,"Ref_117","1",41679,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Potos flavus"
"215","Procyon cancrivorus",5074,"Procyonidae",50,0,10,20,0,0,10,0,10,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",6949.92,"Ref_117","1",41685,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Procyon cancrivorus"
"216","Proechimys brevicauda",2988,"Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117","1",18275,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Proechimys brevicauda"
"217","Proechimys decumanus",2974,"Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117","1",18280,NA,NA,NA,"NT",NA,NA,NA,NA,NA,"Proechimys decumanus"
"218","Proechimys quadruplicatus",2976,"Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117","1",18296,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Proechimys quadruplicatus"
"219","Proechimys semispinosus",2971,"Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",360.5,"Ref_117","1",18297,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Proechimys semispinosus"
"220","Proechimys simonsi",2970,"Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117","1",18299,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Marginal",NA,NA,"Proechimys simonsi"
"226","Pudu mephistophiles",5300,"Cervidae",0,0,0,0,0,0,10,0,10,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",9599.97,"Ref_117","1",18847,NA,NA,NA,"DD","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Pudu mephistophiles"
"229","Rhinophylla alethina",4177,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",13.57,"Ref_178","2",19591,NA,NA,NA,"NT","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Rhinophylla alethina"
"230","Rhinophylla fischerae",4178,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",9.6,"Ref_58","1",19592,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Rhinophylla fischerae"
"231","Rhinophylla pumilio",4179,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",9.55,"Ref_117","1",19593,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Rhinophylla pumilio"
"232","Rhipidomys leucodactylus",1938,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",80,"Ref_117","1",19610,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Rhipidomys leucodactylus"
"237","Saguinus fuscicollis",563,"Cebidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",387,"Ref_117","1",39947,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Saguinus fuscicollis"
"238","Saimiri sciureus",610,"Cebidae",20,0,0,0,20,0,20,0,20,20,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",743.24,"Ref_117","1",41537,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Saimiri sciureus"
"239","Sciurus granatensis",875,"Sciuridae",0,0,0,0,0,0,20,0,50,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",250,"Ref_117","1",20010,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Sciurus granatensis"
"240","Sciurus igniventris",883,"Sciuridae",0,0,0,0,0,0,20,0,50,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",700,"Ref_117","1",20013,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sciurus igniventris"
"241","Sciurus spadiceus",882,"Sciuridae",0,0,0,0,0,0,20,0,50,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",403.33,"Ref_117","1",20022,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sciurus spadiceus"
"242","Sciurus stramineus",870,"Sciuridae",0,0,0,0,0,0,20,0,50,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",433.3,"Ref_117","1",20023,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sciurus stramineus"
"247","Sigmodontomys alfari",1973,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",50,"Ref_117","1",20221,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sigmodontomys alfari"
"250","Sphaeronycteris toxophyllum",4104,"Phyllostomidae",30,0,0,0,0,0,60,10,0,0,"Ref_3","D2","Ar","A","",1,0,0,"Ref_1","ABC",16.18,"Ref_117","1",20599,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sphaeronycteris toxophyllum"
"255","Sturnira aratathomasi",4125,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",48.63,"Ref_117","1",20949,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Sturnira aratathomasi"
"256","Sturnira bidens",4128,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",17.55,"Ref_117","1",20950,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sturnira bidens"
"257","Sturnira bogotensis",4124,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",20.8,"Ref_117","1",20951,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sturnira bogotensis"
"258","Sturnira erythromos",4123,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",15.1,"Ref_117","1",20952,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Sturnira erythromos"
"259","Sturnira luisi",4120,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21,"Ref_128","1",20955,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sturnira luisi"
"260","Sturnira magna",4119,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21.66,"Ref_178","2",20956,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Sturnira magna"
"261","Sturnira nana",4127,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",18.47,"Ref_178","2",20958,NA,NA,NA,"EN","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Sturnira nana"
"262","Sturnira tildae",4115,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",24.04,"Ref_117","1",20960,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Sturnira tildae"
"269","Tayassu pecari",5116,"Tayassuidae",10,0,0,0,10,0,30,0,30,20,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",32233.69,"Ref_117","1",41778,NA,NA,NA,"VU","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable","Resident","Yes","Tayassu pecari"
"270","Thomasomys aureus",2009,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",88,"Ref_117","1",96801180,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys aureus"
"271","Thomasomys baeops",2008,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",77,"Ref_117","1",21770,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys baeops"
"272","Thomasomys caudivarius",2006,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",76.23,"Ref_2, Ref_3","0",136413,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys caudivarius"
"273","Thomasomys cinnameus",2003,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",76.23,"Ref_2, Ref_3","0",136822,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys cinnameus"
"274","Thomasomys erro",2000,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",76.23,"Ref_2, Ref_3","0",136345,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys erro"
"275","Thomasomys hudsoni",1983,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",76.23,"Ref_2, Ref_3","0",136762,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"Thomasomys hudsoni"
"276","Thomasomys paramorum",1987,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",77,"Ref_117","1",21787,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys paramorum"
"277","Thomasomys silvestris",2014,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",77,"Ref_117","1",21791,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Unknown",NA,NA,"Thomasomys silvestris"
"278","Thomasomys taczanowskii",1995,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",77,"Ref_117","1",21792,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Thomasomys taczanowskii"
"279","Thomasomys ucucha",1979,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",76.23,"Ref_2, Ref_3","0",136487,NA,NA,NA,"VU","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys ucucha"
"280","Thomasomys vulcani",1981,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",76.23,"Ref_2, Ref_3","0",99693990,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Thomasomys vulcani"
"284","Tonatia saurophila",4058,"Phyllostomidae",90,0,0,0,0,0,10,0,0,0,"Ref_2","D1","A","B","generalist",1,0,0,"Ref_1","ABC",30,"Ref_128","1",41530,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Tonatia saurophila"
"285","Trachops cirrhosus",4059,"Phyllostomidae",50,0,40,0,0,0,10,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",37.67,"Ref_117","1",22029,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Trachops cirrhosus"
"286","Tremarctos ornatus",5029,"Ursidae",0,0,0,0,0,0,80,0,0,20,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",140000.63,"Ref_117","1",22066,NA,NA,NA,"VU","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Tremarctos ornatus"
"288","Trinycteris nicefori",4060,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",8.25,"Ref_58","1",13381,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Trinycteris nicefori"
"290","Tylomys mirae",2042,"Cricetidae",0,0,0,0,0,0,10,0,80,10,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",183.6,"Ref_117","1",22572,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Tylomys mirae"
"291","Uroderma bilobatum",4106,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",16.69,"Ref_117","1",22782,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Uroderma bilobatum"
"292","Uroderma magnirostrum",4107,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",16.85,"Ref_117","1",22783,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Uroderma magnirostrum"
"293","Vampyressa melissa",4110,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",16.3,"Ref_117","1",22839,NA,NA,NA,"VU","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Vampyressa melissa"
"294","Vampyrum spectrum",4061,"Phyllostomidae",10,80,0,0,0,0,10,0,0,0,"Ref_1","ABC","G","B","generalist",1,0,0,"Ref_1","ABC",167.65,"Ref_117","1",22843,NA,NA,NA,"NT","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Vampyrum spectrum"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Oryzomys galapagoensis",1860,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",63.51,"Ref_58","1",15595,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"Aegialomys galapagoensis"
"300","Anoura caudifer",4143,"Phyllostomidae",30,0,0,0,0,0,30,40,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",10.81,"Ref_58","1",88109381,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Anoura aequatoris"
"301","Artibeus jamaicensis",4076,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",42.17,"Ref_117","1",88109970,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Artibeus aequatorialis"
"302","Bassaricyon gabbii",5065,"Procyonidae",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",1250,"Ref_117","1",48637280,NA,NA,NA,"NT","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Bassaricyon neblina"
"304","Callicebus lucifer",671,"Pitheciidae",20,0,0,0,0,0,50,0,0,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",1500,"Ref_127","1",41564,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Cheracebus lucifer"
"305","Sphiggurus ichillus",3031,"Erethizontidae",0,0,0,0,0,0,30,0,0,70,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",1242.24,"Ref_2, Ref_3","0",136597,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Coendou ichillus"
"306","Coendou rothschildi",3018,"Erethizontidae",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",2000,"Ref_117","1",136702,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Coendou quichua"
"307","Echinoprocta rufescens",3022,"Erethizontidae",0,0,0,0,0,0,30,0,0,70,"Ref_3","D2","Ar","A","",1,0,0,"Ref_2","D1",831.8,"Ref_117","1",7010,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Coendou rufescens"
"308","Artibeus anderseni",4070,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",138,"Ref_117","1",2122,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Dermanura anderseni"
"309","Artibeus glaucus",4064,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",11.06,"Ref_117","1",83683065,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Dermanura glauca"
"310","Artibeus gnomus",4065,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_1","ABC",10.06,"Ref_58","1",2129,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Dermanura gnoma"
"311","Artibeus phaeotis",4062,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",11.59,"Ref_117","1",83683287,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Dermanura phaeotis"
