"","scientific_name","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","taxonid","subspecies","rank","subpopulation","category","code","habitat","suitability","season","majorimportance","IUCN_species_name"
"32","Caenolestes fuliginosus",96,"Caenolestidae",70,0,0,0,10,0,10,0,0,10,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",27.8,"Ref_117","1",41506,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Caenolestes fuliginosus"
"33","Caluromys derbianus",7,"Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",297,"Ref_117","1",3650,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Caluromys derbianus"
"34","Caluromys lanatus",8,"Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",325,"Ref_117","1",3648,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Caluromys lanatus"
"35","Carollia castanea",4172,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",13.27,"Ref_117","1",88110411,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Carollia castanea"
"36","Carollia perspicillata",4174,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",18,"Ref_117","1",3905,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Carollia perspicillata"
"39","Chibchanomys orcesi",1748,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",50,"Ref_2, Ref_3","0",136775,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"Chibchanomys orcesi"
"40","Chilomys instans",1749,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",19,"Ref_117","1",4634,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Chilomys instans"
"41","Chiroderma salvini",4086,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",25.52,"Ref_117","1",4666,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Chiroderma salvini"
"42","Chiroderma trinitatum",4084,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",13.68,"Ref_117","1",4667,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Chiroderma trinitatum"
"43","Chiroderma villosum",4085,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",23.12,"Ref_117","1",4668,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Chiroderma villosum"
"45","Choeroniscus minor",4145,"Phyllostomidae",30,0,0,0,0,0,40,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",8.73,"Ref_117","1",4774,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Choeroniscus minor"
"46","Choeroniscus periosus",4146,"Phyllostomidae",30,0,0,0,0,0,40,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",11.57,"Ref_178","2",4775,NA,NA,NA,"VU","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Choeroniscus periosus"
"47","Choloepus didactylus",441,"Megalonychidae",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",5160,"Ref_117","1",4777,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable","Resident","Yes","Choloepus didactylus"
"48","Choloepus hoffmanni",442,"Megalonychidae",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",4750.01,"Ref_117","1",4778,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Choloepus hoffmanni"
"49","Chrotopterus auritus",4037,"Phyllostomidae",30,0,20,20,0,0,30,0,0,0,"Ref_1","ABC","S","B","generalist",1,0,0,"Ref_1","ABC",77.86,"Ref_117","1",4811,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Chrotopterus auritus"
"50","Conepatus semistriatus",5053,"Mephitidae",80,0,10,0,0,0,10,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",1200,"Ref_117","1",41633,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Conepatus semistriatus"
"55","Cuniculus paca",3073,"Cuniculidae",0,0,0,0,0,0,20,0,30,50,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",8172.55,"Ref_58","1",699,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Cuniculus paca"
"56","Cuniculus taczanowskii",3072,"Cuniculidae",0,0,0,0,0,0,20,0,30,50,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",8999.95,"Ref_58","1",700,NA,NA,NA,"NT","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Cuniculus taczanowskii"
"63","Dasyprocta fuliginosa",3062,"Dasyproctidae",10,0,0,0,0,0,40,0,0,50,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",3500.02,"Ref_117","1",6281,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Dasyprocta fuliginosa"
"64","Dasyprocta punctata",3068,"Dasyproctidae",10,0,0,0,0,0,40,0,0,50,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",2674.98,"Ref_117","1",89497686,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Dasyprocta punctata"
"74","Dinomys branickii",3040,"Dinomyidae",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",12500,"Ref_117","1",6608,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Dinomys branickii"
"76","Diplomys labilis",2939,"Echimyidae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",227.5,"Ref_117","1",6663,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Diplomys labilis"
"77","Echimys saturnus",2943,"Echimyidae",0,0,0,0,0,0,80,0,0,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",626.9,"Ref_117","1",6987,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Echimys saturnus"
"78","Eira barbara",4985,"Mustelidae",0,90,0,0,0,0,10,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",3910.03,"Ref_117","1",41644,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Eira barbara"
"79","Enchisthenes hartii",4090,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",16.99,"Ref_58","1",2130,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Enchisthenes hartii"
"91","Galictis vittata",4987,"Mustelidae",20,30,20,0,10,0,20,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",3200,"Ref_117","1",41640,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Galictis vittata"
"92","Glironia venusta",10,"Didelphidae",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",114,"Ref_117","1",9245,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Glironia venusta"
"94","Glossophaga commissarisi",4152,"Phyllostomidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","B","generalist",1,0,0,"Ref_1","ABC",8.9,"Ref_117","1",9273,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Glossophaga commissarisi"
